Target,TIC,Author,Sector,Temperature,Plx,Gmag,BP-RP,Type,Spectral Type,Lightcurve Notes
MWC 758,73816033,SPOC,71,7314,6.4157,8.220417,0.424628,Herbig Ae/Be Star,A8,"Amplitude ~10%, pulsations at higher frequencies 15-40 d^-1"
DM Tau,61259576,SPOC,43,3897,6.9421,13.095755,2.028674,Orion Variable,M2,"Amplitude ~10%, jagged structure with sharp peaks/troughs"
DM Tau,61259576,SPOC,44,3897,6.9421,13.095755,2.028674,Orion Variable,M2,"Amplitude ~13%, jagged structure with sharp peaks/troughs, smoother for smaller frequncies"
DM Tau,61259576,SPOC,70,3897,6.9421,13.095755,2.028674,Orion Variable,M2,"Amplitude ~7%, jagged structure with sharp peaks/troughs"
DM Tau,61259576,SPOC,71,3897,6.9421,13.095755,2.028674,Orion Variable,M2,"Amplitude ~ 5%, jagged structure with sharp peaks/troughs, amplitude increases with time"
AA Tau,268510757,SPOC,43,3783,7.4255,14.42295,2.543629,Orion Variable,K5,"Amplitude ~15%, many substructures, sharp peaks"
AA Tau,268510757,SPOC,44,3783,7.4255,14.42295,2.543629,Orion Variable,K5,"Amplitude ~15%, greater small variability, sharp peaks"
AA Tau,268510757,SPOC,70,3783,7.4255,14.42295,2.543629,Orion Variable,K5,"Bigger amplitude ~40%, smaller amplitude ~ 5%, smooth curves, many spikes"
AA Tau,268510757,SPOC,71,3783,7.4255,14.42295,2.543629,Orion Variable,K5,"Bigger amplitude ~50%, smaller amplitude ~20%, smooth curves, some small spikes"
LkCa 15,118681038,SPOC,43,4194,6.3619,11.591105,1.63856,Orion Variable,K5,"Dipper? troughs at ~25% and ~50%, really jagged"
LkCa 15,118681038,SPOC,44,4194,6.3619,11.591105,1.63856,Orion Variable,K5,"Dipper? troughs at ~25% and ~50%, really jagged + spike"
LkCa 15,118681038,SPOC,70,4194,6.3619,11.591105,1.63856,Orion Variable,K5,"Dipper? troughs at ~25%, really jagged"
LkCa 15,118681038,SPOC,71,4194,6.3619,11.591105,1.63856,Orion Variable,K5,"Dipper? troughs at varying depths ~10-40%, jagged"
HD 38242,100479228,QLP,5,4744,3.3299,7.98784,1.244267,Star,K1,"Varying amplitudes < 0.2%, more spaced out spikes"
HD 38242,100479228,QLP,6,4744,3.3299,7.98784,1.244267,Star,K1,"Varying amplitudes < 0.2% with increasing big structure, more spaced out spikes"
HD 38242,100479228,QLP,32,4744,3.3299,7.98784,1.244267,Star,K1,"Varying amplitudes < 0.2% with decreasing big structure, more spaced out spikes"
HD 38242,100479228,QLP,33,4744,3.3299,7.98784,1.244267,Star,K1,"Varying amplitudes < 0.2% with sinusoidal big structure, more spaced out spikes"
HD 38242,100479228,QLP,87,4744,3.3299,7.98784,1.244267,Star,K1,"Varying amplitudes < 0.2% with sinusoidal big structure, scrunched"
HD 38242,100479228,QLP,98,4744,3.3299,7.98784,1.244267,Star,K1,"Varying amplitudes < 0.2% with decreasing big structure, more spaced out spikes + scrunch"
CQ Tau,74632969,SPOC,43,4980,6.6946,10.228766,1.158207,Herbig Ae/Be,F5,"Varying troughs up to ~50%, pointed, aperiodic"
CQ Tau,74632969,SPOC,44,4980,6.6946,10.228766,1.158207,Herbig Ae/Be,F5,"Varying troughs up to ~60%, smoother, aperiodic"
CQ Tau,74632969,SPOC,45,4980,6.6946,10.228766,1.158207,Herbig Ae/Be,F5,"Varying troughs up to ~40%, smoother, aperiodic"
CQ Tau,74632969,SPOC,71,4980,6.6946,10.228766,1.158207,Herbig Ae/Be,F5,"Varying troughs up to ~60%, smoother, aperiodic"
CQ Tau,74632969,SPOC,72,4980,6.6946,10.228766,1.158207,Herbig Ae/Be,F5,"Varying troughs up to ~60%, smoother, aperiodic"
